-6.76528842,34.09421557   oiseaux voliére
-6.76781571,34.09600804   snake vivarium
-6.76889836,34.09634525   museum
-6.76807271,34.09603533   mosquee
-6.76902813,34.09624836 -6.76506489,34.09378073   WC
-6.76499209,34.09372678   coffee
-6.76472871,34.09417972   entrance
-6.7683925,34.0964594     china
-6.7665798,34.0953559     savana
-6.7686174,34.0967758   polinizi
-6.7692427,34.0962986   japan
-6.7679920,34.0963104   Asie
-6.7676282,34.0960667   antila jozor
-6.7671132,34.0952713   bayt zojaji
-6.7670437,34.0949633   batiment??

